topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,121,ospf_te,5.0,0.1,0.8659016166223273,0.13409838337767277,3.0900889025434575,1.0383154979661173,12192.967741935483,390174.96774193546,232.19354838709677,1.8,19,4,1934434,61901888.0,22466,224.66,14058
er,121,snn_sra,5.0,0.1,0.8899853488803863,0.11001465111961381,3.1764161720615873,1.047641947763304,1807.5806451612902,57842.58064516129,35.25806451612903,1.8,4,89,324777,10392864.0,10621,106.21,31265
er,121,te_ecmp,5.0,0.1,0.8735988700874109,0.12640112991259345,3.083221899200575,1.0312447215004665,21530.1935483871,688966.1935483871,337.7741935483871,1.7649999999999995,2,3,3700283,118409056.0,35144,351.44,28419
er,121,triggered_te,5.0,0.1,0.8935451823177425,0.10645481768225758,3.1831456835432226,1.0829315331250893,11641.870967741936,372539.87096774194,43.193548387096776,1.8,4,3,1795411,57453152.0,12931,129.31,40179
er,122,bandit,5.0,0.1,0.9359520693257203,0.06404793067427964,3.0673557469440955,1.0018454010825346,18580.064516129034,594562.0645161291,2665.8387096774195,1.26,0,1,2928679,93717728.0,480453,4804.53,19602
er,122,ospf_te,5.0,0.1,0.9274731323640697,0.07252686763593034,3.0978949479111715,1.0132524559323421,11161.451612903225,357166.4516129032,274.35483870967744,1.8,0,1,1752088,56066816.0,24057,240.57,12177
er,122,snn_sra,5.0,0.1,0.8928938907015618,0.10710610929843815,3.1308189342243713,1.017957378812223,1323.9354838709678,42365.93548387097,30.451612903225808,1.8,4,89,257168,8229376.0,10455,104.55,27276
er,122,te_ecmp,5.0,0.1,0.936620802260495,0.06337919773950437,3.078954155985435,1.0061467575607124,19218.0,614976.0,277.3225806451613,1.8,0,1,3157340,101034880.0,31132,311.32,22668
er,122,triggered_te,5.0,0.1,0.8948708897861465,0.10512911021385411,3.1114319015568928,1.028167764238066,10349.451612903225,331182.4516129032,47.58064516129032,1.3199999999999998,4,1,1635224,52327168.0,13155,131.55,35508
er,123,bandit,5.0,0.1,0.9124390326019383,0.08756096739806198,3.2847331385410077,1.0075994512263986,20556.870967741936,657819.8709677419,3545.0,1.8,7,1,3247675,103925600.0,616583,6165.83,21483
