topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
rgg,125,bandit,4.0,0.08,0.36487987773007513,0.6351201222699292,5.681097564287218,1.0521159328565124,25733.612903225807,823475.6129032258,2517.3225806451615,1.8,40,10,3989718,127670976.0,481429,4814.29,27522
rgg,125,ospf_te,4.0,0.08,0.33951675183076313,0.6604832481692408,5.620882494783322,1.1171598593836987,15380.129032258064,492164.12903225806,577.9354838709677,1.8,41,11,2381253,76200096.0,64331,643.31,16533
rgg,125,snn_sra,4.0,0.08,0.355386726778062,0.6446132732219425,5.8994132368445245,1.118893919361909,5955.5161290322585,190576.51612903227,237.06451612903226,1.8,64,89,690344,22091008.0,20234,202.34,19721
rgg,125,te_ecmp,4.0,0.08,0.34869663510368754,0.6513033648963159,5.062042966832318,1.0688872949152197,26687.90322580645,854012.9032258064,1147.6774193548388,1.8,61,31,4560917,145949344.0,122467,1224.67,38883
rgg,125,triggered_te,4.0,0.08,0.27493445290228274,0.7250655470977222,5.640949882605859,1.1222288345414104,17708.322580645163,566666.3225806452,233.1290322580645,1.8,119,89,2524448,80782336.0,23265,232.65,30338
rgg,121,bandit,5.0,0.1,0.4800304160235746,0.5199695839764255,4.567947545220636,1.0241487902867645,25114.064516129034,803650.0645161291,1758.225806451613,0.0,119,89,3875158,124005056.0,329839,3298.39,26136
rgg,121,ospf_te,5.0,0.1,0.4738271398335283,0.5261728601664717,3.7265865707676875,1.0365870470089988,15073.548387096775,482353.5483870968,718.483870967742,0.0,80,50,2301400,73644800.0,64244,642.44,15840
rgg,121,snn_sra,5.0,0.1,0.4279340580755641,0.5720659419244358,3.9857349623074563,1.0924559552419681,10577.645161290322,338484.6451612903,612.258064516129,0.0,119,89,1042125,33348000.0,33595,335.95,18002
rgg,121,te_ecmp,5.0,0.1,0.44429465621354836,0.5557053437864516,3.447158065952201,1.0288314532838703,21031.967741935485,673022.9677419355,1157.967741935484,0.0,119,89,3570452,114254464.0,116124,1161.24,33105
rgg,121,triggered_te,5.0,0.1,0.4270961048488383,0.5729038951511617,3.3429245582904783,1.0529069434505627,17223.1935483871,551142.1935483871,261.7096774193548,0.0,119,89,2432483,77839456.0,26779,267.79,29683
rgg,122,bandit,5.0,0.1,0.43653967433806484,0.5634603256619428,6.339312955117798,1.0690477250632984,24804.290322580644,793737.2903225806,2205.2903225806454,1.8,119,89,3860576,123538432.0,416186,4161.86,25443
rgg,122,ospf_te,5.0,0.1,0.3364511749775481,0.6635488250224575,6.177541974567803,1.167105526108754,14885.129032258064,476324.12903225806,681.6774193548387,1.8,48,18,2300817,73626144.0,57440,574.4,15840
rgg,122,snn_sra,5.0,0.1,0.3897677914744946,0.6102322085255129,5.610410000774776,1.1047842043329656,6242.354838709677,199755.35483870967,241.16129032258064,1.8,119,89,625511,20016352.0,18683,186.83,19356
rgg,122,te_ecmp,5.0,0.1,0.3933705328692959,0.6066294671307093,5.5530379282406255,1.1079638592060257,19835.677419354837,634741.6774193548,1276.516129032258,1.8,42,12,4057929,129853728.0,107205,1072.05,35665
