scenario,topology,seed,method,startup_full_reachability_tick,loop_active_ticks,loop_episode_count,loop_longest_episode_ticks,loop_post_active_ticks,loop_post_episode_count,loop_longest_post_episode_ticks,loop_first_active_tick,loop_last_active_tick,blackhole_active_ticks,blackhole_episode_count,blackhole_longest_episode_ticks,blackhole_post_active_ticks,blackhole_post_episode_count,blackhole_longest_post_episode_ticks,blackhole_first_active_tick,blackhole_last_active_tick,reachability_gap_active_ticks,reachability_gap_episode_count,reachability_gap_longest_episode_ticks,reachability_gap_post_active_ticks,reachability_gap_post_episode_count,reachability_gap_longest_post_episode_ticks,reachability_gap_first_active_tick,reachability_gap_last_active_tick,incomplete_route_active_ticks,incomplete_route_episode_count,incomplete_route_longest_episode_ticks,incomplete_route_post_active_ticks,incomplete_route_post_episode_count,incomplete_route_longest_post_episode_ticks,incomplete_route_first_active_tick,incomplete_route_last_active_tick
hotspot_3x,er,124,snn_sra,4,14,2,13,0,0,0,44,58,0,0,0,0,0,0,,,0,0,0,0,0,0,,,14,2,13,0,0,0,44,58
hotspot_3x,er,125,snn_sra,4,28,1,28,1,1,1,44,71,0,0,0,0,0,0,,,4,1,4,0,0,0,54,57,28,1,28,1,1,1,44,71
hotspot_3x,er,121,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
hotspot_3x,er,122,te_ecmp,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
hotspot_3x,er,123,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
hotspot_3x,er,124,te_ecmp,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
hotspot_3x,er,125,te_ecmp,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,121,triggered_te,4,64,1,64,37,1,37,44,107,0,0,0,0,0,0,,,61,1,61,37,1,37,47,107,64,1,64,37,1,37,44,107
hotspot_3x,er,122,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,123,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,124,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,125,triggered_te,4,113,1,113,89,1,89,47,159,0,0,0,0,0,0,,,113,1,113,89,1,89,47,159,113,1,113,89,1,89,47,159
