topology,mode,seed,tick,route_changes,phase
er,memory_only,102,46,32,stage2
er,memory_only,102,47,0,stage2
er,memory_only,102,48,0,stage2
er,memory_only,102,49,0,stage2
er,memory_only,102,50,0,stage2
er,memory_only,102,51,0,stage2
er,memory_only,102,52,0,stage2
er,memory_only,102,53,0,stage2
er,memory_only,102,54,0,stage2
er,memory_only,102,55,0,stage2
er,memory_only,102,56,0,recovery
er,memory_only,102,57,0,recovery
er,memory_only,102,58,0,recovery
er,memory_only,102,59,0,recovery
er,memory_only,102,60,0,recovery
er,memory_only,102,61,0,recovery
er,memory_only,102,62,0,recovery
er,memory_only,102,63,0,recovery
er,memory_only,102,64,0,recovery
er,memory_only,102,65,0,recovery
er,memory_only,102,66,0,recovery
er,memory_only,102,67,0,recovery
er,memory_only,102,68,0,recovery
er,memory_only,102,69,0,recovery
er,memory_only,102,70,0,recovery
er,memory_only,102,71,0,recovery
er,memory_only,102,72,0,recovery
er,memory_only,102,73,0,recovery
er,memory_only,102,74,0,recovery
er,memory_only,102,75,0,recovery
er,memory_only,102,76,0,recovery
er,memory_only,102,77,0,recovery
er,memory_only,102,78,0,recovery
er,memory_only,102,79,0,recovery
er,full,102,1,2514,pre
er,full,102,2,4988,pre
er,full,102,3,1766,pre
er,full,102,4,74,pre
er,full,102,5,0,pre
er,full,102,6,0,pre
er,full,102,7,0,pre
er,full,102,8,0,pre
er,full,102,9,0,pre
er,full,102,10,0,pre
er,full,102,11,0,pre
er,full,102,12,0,pre
er,full,102,13,0,pre
er,full,102,14,0,pre
er,full,102,15,0,stage1
er,full,102,16,0,stage1
er,full,102,17,0,stage1
er,full,102,18,0,stage1
er,full,102,19,0,stage1
er,full,102,20,86,stage1
er,full,102,21,48,stage1
er,full,102,22,0,stage1
er,full,102,23,0,stage1
er,full,102,24,0,stage1
er,full,102,25,0,stage1
er,full,102,26,0,stage1
er,full,102,27,0,stage1
er,full,102,28,0,stage1
er,full,102,29,0,stage1
er,full,102,30,0,stage1
er,full,102,31,0,pre
er,full,102,32,0,pre
er,full,102,33,0,pre
er,full,102,34,0,pre
er,full,102,35,0,pre
er,full,102,36,0,pre
er,full,102,37,0,pre
er,full,102,38,0,pre
er,full,102,39,0,pre
er,full,102,40,0,stage2
er,full,102,41,0,stage2
er,full,102,42,0,stage2
er,full,102,43,0,stage2
er,full,102,44,0,stage2
er,full,102,45,0,stage2
er,full,102,46,48,stage2
er,full,102,47,0,stage2
er,full,102,48,0,stage2
er,full,102,49,0,stage2
er,full,102,50,0,stage2
er,full,102,51,0,stage2
er,full,102,52,0,stage2
er,full,102,53,0,stage2
er,full,102,54,0,stage2
er,full,102,55,0,stage2
er,full,102,56,0,recovery
er,full,102,57,0,recovery
er,full,102,58,0,recovery
er,full,102,59,0,recovery
er,full,102,60,0,recovery
er,full,102,61,0,recovery
er,full,102,62,0,recovery
er,full,102,63,0,recovery
er,full,102,64,0,recovery
er,full,102,65,0,recovery
er,full,102,66,0,recovery
er,full,102,67,0,recovery
er,full,102,68,0,recovery
er,full,102,69,0,recovery
er,full,102,70,0,recovery
er,full,102,71,0,recovery
er,full,102,72,0,recovery
er,full,102,73,0,recovery
er,full,102,74,0,recovery
er,full,102,75,0,recovery
er,full,102,76,0,recovery
er,full,102,77,0,recovery
er,full,102,78,0,recovery
er,full,102,79,0,recovery
er,baseline,103,1,2554,pre
er,baseline,103,2,4960,pre
er,baseline,103,3,1718,pre
er,baseline,103,4,88,pre
er,baseline,103,5,0,pre
er,baseline,103,6,0,pre
er,baseline,103,7,0,pre
er,baseline,103,8,0,pre
er,baseline,103,9,0,pre
