parameter,value,seed,burst_delivery_ratio,burst_loss_ratio,burst_mean_delay,total_emitted_updates,peak_event_rate,rebound_ratio_after_release,post_stage2_route_changes,return_to_stage1_ratio,after_stage2_fire_ratio
memory_decay,0.78,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216733.0,30383.0,0.0,0.0,0.0,0.0
memory_decay,0.78,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
memory_decay,0.78,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
memory_decay,0.78,134,0.9138045450063345,0.08619545499366835,3.384819955352744,248281.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
memory_decay,0.78,135,0.8159570761343065,0.1840429238656956,3.1866013923376255,207108.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
memory_decay,0.9,131,0.9252472216642199,0.07475277833578166,3.185542125718498,216980.0,30383.0,0.0,0.0,0.0,0.0
memory_decay,0.9,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158474.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
memory_decay,0.9,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191223.0,28927.0,0.0,0.0,0.0,0.0
memory_decay,0.9,134,0.9183913264106041,0.08160867358939837,3.383196971698513,248313.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
memory_decay,0.9,135,0.7992175890013943,0.20078241099860808,3.2159818050543874,212502.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
slow_weight,0.15,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216738.0,30383.0,0.0,0.0,0.0,0.0
slow_weight,0.15,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
slow_weight,0.15,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
slow_weight,0.15,134,0.9183913264106041,0.08160867358939837,3.381195807321234,248202.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
slow_weight,0.15,135,0.8107670348840421,0.18923296511596002,3.183392431345288,212629.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
slow_weight,0.35,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216733.0,30383.0,0.0,0.0,0.0,0.0
slow_weight,0.35,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
slow_weight,0.35,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
slow_weight,0.35,134,0.9138045450063345,0.08619545499366835,3.384819955352744,248281.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
slow_weight,0.35,135,0.8159570761343065,0.1840429238656956,3.1866013923376255,207108.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
slow_weight,0.55,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216768.0,30383.0,0.0,0.0,0.0,0.0
slow_weight,0.55,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
slow_weight,0.55,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
slow_weight,0.55,134,0.9138045450063345,0.08619545499366835,3.384819955352744,248272.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
slow_weight,0.55,135,0.8165191129321132,0.1834808870678889,3.186210332254088,207111.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
