time_s,old_cwnd_bytes,new_cwnd_bytes
7.990435,18760,19296
8.022531,19296,19832
8.054627,19832,20368
8.088611,20368,20904
8.136885,20904,21440
8.207197,21440,21976
8.234202,21976,21674
8.235658,21674,21908
8.236130,21908,22141
8.237586,22141,22375
8.238058,22375,22609
8.238530,22609,22842
8.239986,22842,23076
8.240458,23076,23310
8.242898,23310,23543
8.243370,23543,23777
8.243842,23777,24011
8.245298,24011,24244
8.245770,24244,24478
8.247226,24478,24711
8.247698,24711,24945
8.248170,24945,25179
8.249626,25179,25412
8.250098,25412,25646
8.250570,25646,25880
8.252026,25880,26113
8.252498,26113,25962
8.254938,25962,25811
8.255410,25811,25660
8.255882,25660,25509
8.257338,25509,25357
8.257810,25357,25206
8.259266,25206,25055
8.259738,25055,24904
8.260210,24904,24753
8.261666,24753,24602
8.262138,24602,24450
8.264578,24450,24299
8.265050,24299,24148
8.265522,24148,23997
8.266978,23997,23846
8.267450,23846,23694
8.268906,23694,23543
8.269378,23543,23392
8.269850,23392,23241
8.271306,23241,23090
8.271765,23090,15008
8.271765,15008,15544
8.334405,15544,16080
8.387405,16080,16616
8.442333,16616,17152
8.498205,17152,17688
8.517970,17688,17412
8.519426,17412,17671
8.519898,17671,17931
8.521354,17931,18190
8.521826,18190,18449
8.522298,18449,18709
8.523754,18709,18968
8.524226,18968,19227
8.526666,19227,19487
8.527138,19487,19746
8.527610,19746,20005
8.529066,20005,20265
8.529538,20265,20524
8.530010,20524,20783
8.531466,20783,21043
8.531938,21043,21302
8.533394,21302,21164
8.533866,21164,21026
8.534338,21026,20887
8.536778,20887,20749
8.537250,20749,20611
8.538706,20611,20472
8.539178,20472,20334
8.539650,20334,20196
8.541106,20196,20057
8.541578,20057,19919
8.543034,19919,19781
8.543506,19781,19642
8.543978,19642,19504
8.545434,19504,19366
8.545906,19366,19227
8.548346,19227,19089
8.548805,19089,12328
8.548805,12328,12864
8.601805,12864,13400
8.611792,13400,7504
8.611930,7504,8040
8.612264,8040,8576
8.612402,8576,9112
8.623013,9112,9648
8.646907,9648,10184
8.671104,10184,10720
8.689637,10720,11256
8.707635,11256,11792
8.727459,11792,12328
8.747283,12328,12864
8.768995,12864,13400
8.790707,13400,13936
8.813363,13936,14472
8.836963,14472,15008
8.861507,15008,15544
8.886995,15544,16080
8.913427,16080,16616
8.940803,16616,17152
8.969123,17152,17688
8.997443,17688,18224
9.027651,18224,18760
9.057859,18760,19296
9.089955,19296,19832
9.122051,19832,20368
9.156035,20368,20904
9.190019,20904,21440
9.241629,21440,21976
9.311941,21976,22512
9.333634,22512,22218
9.335090,22218,22459
9.335562,22459,22700
9.337018,22700,22941
9.337490,22941,23182
9.337962,23182,23424
9.340402,23424,23665
9.340874,23665,23906
9.342330,23906,24147
9.342802,24147,24388
9.343274,24388,24630
9.344730,24630,24871
9.345202,24871,25112
9.346658,25112,25353
9.347130,25353,25594
9.347602,25594,25836
9.350042,25836,26077
9.350514,26077,26318
9.350986,26318,26559
9.352442,26559,26800
9.352914,26800,26653
9.354370,26653,26506
9.354842,26506,26358
9.355314,26358,26211
9.356770,26211,26063
9.357242,26063,25916
9.358698,25916,25769
9.359170,25769,25621
9.359642,25621,25474
9.362082,25474,25326
