time_s,old_cwnd_bytes,new_cwnd_bytes
6.919166,17152,17688
6.919229,17688,17152
6.919638,17152,17688
6.919701,17688,17152
6.920110,17152,17688
6.920173,17688,17152
6.920582,17152,17688
6.920645,17688,17152
6.921054,17152,17688
6.921526,17688,17152
6.921998,17152,17688
6.922470,17688,17152
6.922942,17152,17688
6.923414,17688,17152
6.923874,17152,19296
6.923874,19296,19832
6.988128,19832,20368
7.023136,20368,20904
7.093488,20904,21440
7.140717,21440,21158
7.141189,21158,21412
7.141661,21412,21666
7.144101,21666,21920
7.144573,21920,22174
7.145045,22174,22428
7.146501,22428,22682
7.146973,22682,22936
7.148429,22936,23190
7.148901,23190,23443
7.149373,23443,23697
7.150829,23697,23951
7.151301,23951,24205
7.152757,24205,24459
7.153229,24459,24713
7.153701,24713,24967
7.156141,24967,25221
7.156613,25221,25475
7.158069,25475,25728
7.158541,25728,25587
7.159013,25587,25446
7.160469,25446,25305
7.160941,25305,25164
7.162397,25164,25023
7.162869,25023,24882
7.163341,24882,24741
7.165781,24741,24600
7.166253,24600,24459
7.166725,24459,24318
7.168181,24318,24177
7.168653,24177,24036
7.170109,24036,23895
7.170581,23895,23754
7.171053,23754,23613
7.172509,23613,23472
7.172981,23472,23331
7.174437,23331,23190
7.174909,23190,23048
7.175381,23048,22907
7.177808,22907,15008
7.177808,15008,15544
7.179736,15544,16080
7.298248,16080,16616
7.353176,16616,17152
7.409048,17152,17688
7.428813,17688,17412
7.430269,17412,17671
7.430741,17671,17931
7.432197,17931,18190
7.432669,18190,18449
7.433141,18449,18709
7.434597,18709,18968
7.435069,18968,19227
7.437509,19227,19487
7.437981,19487,19746
7.438453,19746,20005
7.439909,20005,20265
7.440381,20265,20524
7.441837,20524,20783
7.442309,20783,21043
7.442781,21043,21302
7.444237,21302,21164
7.444709,21164,21026
7.446165,21026,20887
7.446637,20887,20749
7.447109,20749,20611
7.449549,20611,20472
7.450021,20472,20334
7.450493,20334,20196
7.451949,20196,20057
7.452421,20057,19919
7.453877,19919,19781
7.454349,19781,19642
7.454821,19642,19504
7.456277,19504,19366
7.456749,19366,19227
7.459189,19227,19089
7.459648,19089,12328
7.459648,12328,12864
7.512648,12864,13400
7.556992,13400,13936
7.602280,13936,14472
7.649496,14472,15008
7.698640,15008,15544
7.711539,15544,7504
7.712011,7504,8040
7.712149,8040,8576
7.712483,8576,9112
7.712621,9112,9648
7.712955,9648,10184
7.713093,10184,9648
7.714411,9648,10184
7.714549,10184,10720
7.714883,10720,10184
7.715021,10184,10720
7.717323,10720,10184
7.717461,10184,10720
7.717795,10720,10184
7.717933,10184,10720
7.718405,10720,10184
7.719861,10184,10720
7.720070,10720,10184
7.720333,10184,10720
7.720542,10720,10184
7.721789,10184,10720
7.722261,10720,10184
7.722733,10184,10720
7.724189,10720,10184
7.724661,10184,10720
7.725120,10720,11256
7.758290,11256,11792
7.777170,11792,12328
7.797938,12328,12864
7.818706,12864,13400
7.840418,13400,13936
7.863074,13936,14472
7.886674,14472,15008
7.911218,15008,15544
7.936706,15544,16080
7.963138,16080,16616
7.990514,16616,17152
8.018834,17152,17688
8.048098,17688,18224
8.077362,18224,18760
8.108514,18760,19296
8.139666,19296,19832
8.172706,19832,20368
8.205746,20368,20904
8.240674,20904,21440
8.275602,21440,21976
8.311474,21976,22512
8.348290,22512,23048
8.386050,23048,23584
8.424754,23584,24120
8.464402,24120,24656
8.504994,24656,25192
8.546530,25192,25728
8.589010,25728,26264
8.632434,26264,26800
8.675858,26800,27336
8.711371,27336,13936
8.711742,13936,14472
8.711843,14472,15008
8.712214,15008,15544
8.712686,15544,15008
8.713158,15008,15544
8.713299,15544,16080
8.713630,16080,15544
8.713771,15544,16080
8.714102,16080,16616
8.714574,16616,16080
8.715046,16080,16616
