time_s,old_cwnd_bytes,new_cwnd_bytes
9.012819,8040,8576
9.013291,8576,9112
9.013763,9112,8576
9.015122,8576,9112
9.015594,9112,9648
9.023390,9648,10184
9.055371,10184,10720
9.072898,10720,11256
9.091840,11256,11792
9.110720,11792,12328
9.131488,12328,12864
9.152256,12864,13400
9.173968,13400,13936
9.196624,13936,14472
9.220224,14472,15008
9.244768,15008,15544
9.270256,15544,16080
9.296688,16080,16616
9.334406,16616,17152
9.390278,17152,17688
9.449062,17688,18224
9.454859,18224,17923
9.455331,17923,18157
9.456787,18157,18392
9.457259,18392,18626
9.457731,18626,18861
9.460171,18861,19095
9.460643,19095,19330
9.462099,19330,19564
9.462571,19564,19799
9.463043,19799,20033
9.464499,20033,20268
9.464971,20268,20502
9.466427,20502,20737
9.466899,20737,20971
9.467371,20971,21206
9.469811,21206,21440
9.470283,21440,21290
9.470755,21290,21139
9.472211,21139,20988
9.472683,20988,20837
9.474139,20837,20687
9.474611,20687,20536
9.475083,20536,20385
9.476539,20385,20234
9.477011,20234,20084
9.478467,20084,19933
9.478939,19933,19782
9.479411,19782,19631
9.481851,19631,19481
9.482323,19481,19330
9.483779,19330,19179
9.484251,19179,19028
9.484723,19028,18878
9.486166,18878,12328
9.486166,12328,12864
9.512562,12864,7504
9.513034,7504,8040
9.513171,8040,8576
9.521814,8576,9112
9.551925,9112,9648
9.569514,9648,10184
9.588046,10184,10720
9.605635,10720,11256
9.624578,11256,11792
9.643458,11792,12328
9.664226,12328,12864
9.684994,12864,13400
9.706706,13400,13936
9.729362,13936,14472
9.752962,14472,15008
9.777506,15008,15544
9.802994,15544,16080
9.829426,16080,16616
9.856802,16616,17152
9.885122,17152,17688
9.911197,17688,13892
9.911566,13892,13869
9.911669,13869,14361
9.912038,14361,14338
9.912510,14338,14316
9.912982,14316,14294
9.913125,14294,14785
9.913454,14785,14763
9.913597,14763,15254
9.913926,15254,15232
9.914398,15232,15209
9.914858,15209,15187
9.915512,15187,15142
9.917440,15142,15098
9.918384,15098,15053
9.920312,15053,15008
9.922240,15008,14964
9.924168,14964,14919
9.925112,14919,14874
9.927040,14874,14830
9.927984,14830,14785
9.929912,14785,14740
9.930856,14740,12328
9.930856,12328,12864
10.023872,12864,13400
10.067232,13400,13936
10.092840,13936,14472
10.110379,14472,12670
10.110789,12670,12572
10.110851,12572,12913
10.111261,12913,12816
10.111323,12816,13157
10.111733,13157,13059
10.111795,13059,13400
10.112192,13400,13303
10.112726,13303,13108
10.113670,13108,12913
10.114614,12913,12718
10.115558,12718,12523
10.116502,12523,12328
10.117446,12328,12134
10.118390,12134,11939
10.119334,11939,11744
10.120278,11744,11549
10.121222,11549,9648
10.121222,9648,10184
10.123582,10184,10720
10.175814,10720,11256
10.193813,11256,11792
10.213637,11792,12328
10.233461,12328,12864
10.255173,12864,13400
10.276885,13400,13936
10.299541,13936,14472
10.310472,14472,12670
10.310882,12670,12572
10.310944,12572,12913
10.311354,12913,12816
10.311416,12816,13157
10.311826,13157,13059
10.311888,13059,13400
10.312285,13400,13303
10.312819,13303,13108
10.313763,13108,12913
10.314707,12913,12718
10.315651,12718,12523
10.316595,12523,12328
10.317539,12328,12134
10.318483,12134,11939
10.319427,11939,11744
10.320371,11744,11549
10.321315,11549,9648
10.321315,9648,10184
10.357374,10184,10720
10.375907,10720,11256
10.393906,11256,11792
10.413730,11792,12328
10.433554,12328,12864
10.455266,12864,13400
10.476978,13400,13936
10.499634,13936,14472
10.510565,14472,12670
